name,price,description,specifications
Эмаль Hobby для керамики белый 0.007 л,230,"['Бренд: Хобби', 'Страна производителя: ШВЕЦИЯ', 'Цвет: белый']","{""Тип работ"": ""внутренние работы / наружные работы"", ""Тип поверхности"": ""керамика / металл / эмалированная поверхность"", ""Колеровка"": ""ручная"", ""Состав,"": ""нитроцеллюлоза"", ""Готовность к применению"": ""готов к применению"", ""Бренд"": ""Хобби"", ""Страна производителя"": ""ШВЕЦИЯ"", ""Цвет"": ""белый"", ""Способ нанесения"": ""кисть"", ""Время полного высыхания (ч)"": ""2"", ""Рекомендованное количество слоев покрытия"": ""1-2""}"
Краска для садовых деревьев РЕЛЬЕФ (2.5кг),140,"['Бренд: РЕЛЬЕФ', 'Страна производителя: РОССИЯ', 'Цвет: белый']","{""Тип работ"": ""наружные работы"", ""Область применения"": ""для садовых деревьев"", ""Степень блеска поверхности"": ""матовая"", ""Способ нанесения"": ""кисть / валик"", ""Разбавитель (растворитель)"": ""вода"", ""Тип поверхности"": ""дерево"", ""Состав,"": ""мел"", ""Бренд"": ""РЕЛЬЕФ"", ""Страна производителя"": ""РОССИЯ"", ""Цвет"": ""белый"", ""Время полного высыхания (ч)"": ""8"", ""Расход (1 слой), (г/кв.м)"": ""100-150"", ""Температура применения, (град. C)"": ""не ниже +5"", ""Рекомендованное количество слоев покрытия"": ""1""}"
Грунт-эмаль аэрозольная Kudo для пластика RAL 7035 Светло-серая 0.52 л,320,"['Бренд: Kudo', 'Страна производителя: РОССИЯ', 'Цвет: светло-серый']","{""Тип работ"": ""внутренние работы / наружные работы"", ""Способ нанесения"": ""через форсунку баллона"", ""Тип поверхности"": ""пластик / ПВХ"", ""Колеровка"": ""готовый цвет"", ""Состав,"": ""полиолефиновые смолы"", ""Бренд"": ""Kudo"", ""Страна производителя"": ""РОССИЯ"", ""Цвет"": ""светло-серый"", ""Артикул"": ""KU-6005"", ""Время полного высыхания (ч)"": ""2"", ""Время высыхания на отлип, (ч)"": ""20 минут"", ""Расход (1 слой), (г/кв.м)"": ""примерно 2 м.кв/баллон"", ""Температура применения, (град. C)"": ""не ниже +10"", ""Рекомендованное количество слоев покрытия"": ""1-2""}"
Эмаль ремонтная Kudo KU-7K6101 для ПВХ профиля с кисточкой белая,140,"['Бренд: Kudo', 'Страна производителя: РОССИЯ', 'Цвет: белый']","{""Тип работ"": ""внутренние работы / наружные работы"", ""Область применения"": ""для жилых и офисных помещений / для ПВХ"", ""Степень блеска поверхности"": ""полуматовая"", ""Способ нанесения"": ""кисть"", ""Разбавитель (растворитель)"": ""не разбавлять"", ""Тип поверхности"": ""пластик / ПВХ"", ""Колеровка"": ""нет"", ""Состав,"": ""акриловый"", ""Бренд"": ""Kudo"", ""Страна производителя"": ""РОССИЯ"", ""Цвет"": ""белый"", ""Артикул"": ""KU-7K6101"", ""Время полного высыхания (ч)"": ""2"", ""Время высыхания на отлип, (ч)"": ""0.17-0.25"", ""Расход (1 слой), (г/кв.м)"": ""0.01м2/один флакон"", ""Температура применения, (град. C)"": ""от +10"", ""Рекомендованное количество слоев покрытия"": ""2-3""}"
Грунт-эмаль аэрозольная Kudo для пластика RAL 7031 Серая 0.52 л,320,"['Бренд: Kudo', 'Страна производителя: РОССИЯ', 'Цвет: серый']","{""Тип работ"": ""внутренние работы / наружные работы"", ""Способ нанесения"": ""через форсунку баллона"", ""Тип поверхности"": ""пластик / ПВХ"", ""Колеровка"": ""готовый цвет"", ""Состав,"": ""полиолефиновые смолы"", ""Бренд"": ""Kudo"", ""Страна производителя"": ""РОССИЯ"", ""Цвет"": ""серый"", ""Артикул"": ""KU-6001"", ""Время полного высыхания (ч)"": ""2"", ""Время высыхания на отлип, (ч)"": ""20 минут"", ""Расход (1 слой), (г/кв.м)"": ""примерно 2 м.кв/баллон"", ""Температура применения, (град. C)"": ""не ниже +10"", ""Рекомендованное количество слоев покрытия"": ""1-2""}"
Эмаль для радиаторов отопления KU-5102 Kudo белая матовая,320,"['Бренд: Kudo', 'Страна производителя: РОССИЯ', 'Цвет: белая']","{""Тип работ"": ""внутренние работы"", ""Область применения"": ""для жилых и офисных помещений"", ""Степень блеска поверхности"": ""матовая"", ""Способ нанесения"": ""вручную"", ""Разбавитель (растворитель)"": ""алкидный растворитель 2010"", ""Тип поверхности"": ""металл"", ""Колеровка"": ""нет"", ""Состав,"": ""алкидная смола"", ""Бренд"": ""Kudo"", ""Страна производителя"": ""РОССИЯ"", ""Цвет"": ""белая"", ""Артикул"": ""KU-5102"", ""Время полного высыхания (ч)"": ""12"", ""Время высыхания на отлип, (ч)"": ""1"", ""Расход (1 слой), (г/кв.м)"": ""260"", ""Температура применения, (град. C)"": ""+20"", ""Рекомендованное количество слоев покрытия"": ""2-3""}"
Эмаль термостойкая для мангалов аэрозоль Kudo черная KU-5122,380,"['Бренд: Kudo', 'Страна производителя: РОССИЯ', 'Цвет: черный']","{""Тип работ"": ""внутренние работы"", ""Область применения"": ""для жилых и офисных помещений"", ""Степень блеска поверхности"": ""матовая"", ""Способ нанесения"": ""вручную"", ""Разбавитель (растворитель)"": ""алкидный растворитель 2010"", ""Тип поверхности"": ""металл"", ""Колеровка"": ""нет"", ""Состав,"": ""алкидная смола"", ""Бренд"": ""Kudo"", ""Страна производителя"": ""РОССИЯ"", ""Цвет"": ""черный"", ""Артикул"": ""KU-5122"", ""Время полного высыхания (ч)"": ""12"", ""Время высыхания на отлип, (ч)"": ""1"", ""Расход (1 слой), (г/кв.м)"": ""260"", ""Температура применения, (град. C)"": ""+20"", ""Рекомендованное количество слоев покрытия"": ""2-3""}"
Грунт-эмаль аэрозольная Kudo для пластика RAL 9005 Черная 0.52 л,330,"['Бренд: Kudo', 'Страна производителя: РОССИЯ', 'Цвет: черный']","{""Тип работ"": ""внутренние работы / наружные работы"", ""Способ нанесения"": ""через форсунку баллона"", ""Тип поверхности"": ""пластик / ПВХ"", ""Колеровка"": ""готовый цвет"", ""Состав,"": ""полиолефиновые смолы"", ""Бренд"": ""Kudo"", ""Страна производителя"": ""РОССИЯ"", ""Цвет"": ""черный"", ""Артикул"": ""KU-6002"", ""Время полного высыхания (ч)"": ""2"", ""Время высыхания на отлип, (ч)"": ""20 минут"", ""Расход (1 слой), (г/кв.м)"": ""примерно 2 м.кв/баллон"", ""Температура применения, (град. C)"": ""не ниже +10"", ""Рекомендованное количество слоев покрытия"": ""1-2""}"
Грунт-эмаль аэрозольная Kudo для пластика RAL 8017 Коричневая 0.52 л,330,"['Бренд: Kudo', 'Страна производителя: РОССИЯ', 'Цвет: коричневый']","{""Тип работ"": ""внутренние работы / наружные работы"", ""Способ нанесения"": ""через форсунку баллона"", ""Тип поверхности"": ""пластик / ПВХ"", ""Колеровка"": ""готовый цвет"", ""Состав,"": ""полиолефиновые смолы"", ""Бренд"": ""Kudo"", ""Страна производителя"": ""РОССИЯ"", ""Цвет"": ""коричневый"", ""Артикул"": ""KU-6011"", ""Время полного высыхания (ч)"": ""2"", ""Время высыхания на отлип, (ч)"": ""20 минут"", ""Расход (1 слой), (г/кв.м)"": ""примерно 2 м.кв/баллон"", ""Температура применения, (град. C)"": ""не ниже +10"", ""Рекомендованное количество слоев покрытия"": ""1-2""}"
Грунт-эмаль аэрозольная Kudo для пластика RAL 7021 Графит 0.52 л,320,"['Бренд: Kudo', 'Страна производителя: РОССИЯ', 'Цвет: графит']","{""Тип работ"": ""внутренние работы / наружные работы"", ""Способ нанесения"": ""через форсунку баллона"", ""Тип поверхности"": ""пластик / ПВХ"", ""Колеровка"": ""готовый цвет"", ""Состав,"": ""полиолефиновые смолы"", ""Бренд"": ""Kudo"", ""Страна производителя"": ""РОССИЯ"", ""Цвет"": ""графит"", ""Артикул"": ""KU-6004"", ""Время полного высыхания (ч)"": ""2"", ""Время высыхания на отлип, (ч)"": ""20 минут"", ""Расход (1 слой), (г/кв.м)"": ""примерно 2 м.кв/баллон"", ""Температура применения, (град. C)"": ""не ниже +10"", ""Рекомендованное количество слоев покрытия"": ""1-2""}"
